family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
nqueens,medium,nqueens_medium_0,dsatur,22,0.007442699978128076,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_0,welsh_powell,26,0.004508899990469217,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_0,smallest_last,24,0.013726800010772422,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_0,largest_first,27,0.0006611999997403473,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_0,iterated_greedy,22,0.0032065999985206872,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,greedy,25,0.000752499996451661,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,dsatur,22,0.005025699996622279,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,welsh_powell,26,0.00400319998152554,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,smallest_last,24,0.020948799996403977,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,largest_first,27,0.0007653000066056848,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,medium,nqueens_medium_1,iterated_greedy,23,0.003333699976792559,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
nqueens,large,nqueens_large_0,greedy,51,0.005226100009167567,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
nqueens,large,nqueens_large_0,dsatur,41,0.0811350999865681,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
nqueens,large,nqueens_large_0,welsh_powell,54,0.04303060000529513,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
nqueens,large,nqueens_large_0,smallest_last,51,0.18611910002073273,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
nqueens,large,nqueens_large_0,largest_first,51,0.00929570000153035,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
nqueens,large,nqueens_large_0,iterated_greedy,42,0.032459499983815476,True,,1024,52576,0.10037878787878787,102.6875,"{""size"": 32}"
latin_square,light,latin_square_light_0,greedy,8,2.2299995180219412e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_0,dsatur,5,0.00013160001253709197,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_0,welsh_powell,8,9.359998512081802e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_0,smallest_last,8,0.00028559999191202223,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_0,largest_first,8,2.2899999748915434e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_0,iterated_greedy,5,9.369998588226736e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,greedy,8,1.8799997633323073e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,dsatur,5,0.00011940000695176423,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,welsh_powell,8,7.249999907799065e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,smallest_last,8,0.00022979997447691858,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,largest_first,8,2.2899999748915434e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,light,latin_square_light_1,iterated_greedy,5,0.00010299999848939478,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""clue_fraction"": 0.7}"
latin_square,balanced,latin_square_balanced_0,greedy,8,4.0799990529194474e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_0,dsatur,7,0.0002639999729581177,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_0,welsh_powell,8,0.00015529998927377164,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_0,smallest_last,8,0.0005750000127591193,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_0,largest_first,8,4.5199994929134846e-05,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
latin_square,balanced,latin_square_balanced_0,iterated_greedy,8,0.00021430000197142363,True,,49,294,0.25,12.0,"{""size"": 7, ""clue_fraction"": 0.5}"
